地區,國家名稱,館處中文名稱,館處外文名稱,駐外館處休假日編號(系統用),網址,館址(外文),信箱號碼,電話,緊急聯絡電話(中文),緊急聯絡電話(英文),傳真,主管(中文),主管(英文),職稱,EMAIL,上班時間,時差,轄區(中文),領務服務時間,所屬單位,消息來源
亞太地區,斐濟共和國,駐斐濟代表處 (中華民國駐斐濟商務代表團),Trade Mission of the Republic of China to the Republic of Fiji,304110000B,http://www.roc-taiwan.org/FJ,"6th Floor, Pacific House, Butt Street, Suva, Republic of Fiji","G. P. O. Box 53 ,Suva, Republic of Fiji",(002-679) 3315-922,(002-679) 7076-662 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-679) 7076-662 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-679) 3301-890,張明,Chang ming,代表,fji@mofa.gov.tw,週一至週五9:00-17:00,較台灣時間快4小時(夏令時間較台灣快5小時，自2009/11/29至2010/04/24),領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,日本,駐大阪辦事處(台北駐大阪經濟文化辦事處),Taipei Economic and Cultural Office in Osaka,303980000B,http://www.taiwanembassy.org/JP/OSA,"Nichiei Building., 4th FL., 4-8, Tosabori 1-chome, Nishi-Ku, Osaka 550-0001, Japan (日本國大阪市西區土佐堀1－4－8日???4階)",,(002-81) 6-6443-8481,(002-81) 90-8794-4568、90-2706-8277 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-81) 90-8794-4568、90-2706-8277 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 6-6443-8577,黃諸侯,"Hwang, Ju-hou",處長,teco-osa@juno.ocn.ne.jp,週一至週五 09:00-17:00,較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五 09:00-17:00,人事處,人事處
亞太地區,日本,駐福岡辦事處 (台北駐大阪經濟文化辦事處福岡分處),"Fukuoka Branch, Taipei Economic and Cultural Office in Osaka",303990000B,http://www.taiwanembassy.org/JP/FUK,"12-42, Sakurazaka, 3-chome, Chuoku, Fukuoka 810-0024, Japan (日本國福岡市中央區櫻?3-12-42)",,(002-81) 92-734-2810,(002-81-90) 8765-3410、3192-8273、4341-7787 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-81-90) 8765-3410、3192-8273、4341-7787 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 92-734-2819,戎義俊,"Rong,Yee-jung",處長,teco.fkk@gmail.com,週一至週五09:00-17:30,較台灣時間快1小時,週一至週五09:00-17:30,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),人事處,人事處
亞太地區,日本,駐橫濱辦事處 (台北駐日經濟文化代表處橫濱分處),"Yokohama Branch, Taipei Economic and Cultural Representative Office in Japan",303970000B,http://www.taiwanembassy.org/JP/YOK,"2F., Asahiseimei Yokohama Bldg., NO.60 Nihonohdori, Naka-ku, Yokohama 231-0021, Japan (日本國??市中?日本大通?60番地，朝日生命??二階)",,(002-81) 45-641-7736~8,(002-81-90) 2410-6030、4967-8663、4746-6409 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-81-90) 2410-6030、4967-8663、4746-6409 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 45-641-6870,李明宗,"LEE, Ming-tsung",處長,yok@mofa.gov.tw,週一至週五 09:00-17:00(12:00-13:00午休時間),較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,日本,駐那霸辦事處(台北駐日經濟文化代表處那霸分處),"Naha Branch, Taipei Economic and Cultural Office in Japan",391590000B,http://www.taiwanembassy.org/JP/NA,"6F., Alte Bldg. 3-15-9 Kumoji Naha City, Okinawa 900-0015, Japan (日本國沖繩縣那霸市久茂地3-15-9六階)",,(002-81) 98-862-7008,(002-81-90) 1942-1107 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-81-90) 1942-1107 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 98-861-6536,粘信士,"Nien, Shinn-shyh",處長,oka@mofa.gov.tw,週一至週五 收件： 09：00~12：00，13：00~16：30,較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,日本,駐札幌辦事處（台北駐日經濟文化代表處札幌分處）,"Sapporo Branch, Taipei Economic and Cultural Representative Office in Japan",391060000B,http://www.roc-taiwan.org/JP/OKD,"5F., Ito Bldg, 1 kita 4-jo Nishi 4-chome, Chuo-ku, Sapporo, Hokkaido 060-0004, Japan (日本國北海道札幌市中央區北四?西4丁目1番地，伊藤??5階)",,(002-81) 11-222-2930,(002-81) 80-1460-2568 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-81) 80-1460-2568 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-81) 11-222-9908,徐瑞湖,"Hsu, Juei-hu",處長,spk@mofa.gov.tw,09:00-17:30,較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,吉里巴斯共和國,駐吉里巴斯共和國大使館,"Embassy of the Republic of China (Taiwan), Tarawa, Republic of Kiribati",391560000B,,"Embassy of the Republic of China(Taiwan), Bairikt, Tarawa, Republic of Kiribati","P.O. Box 104, Bairiki, Tarawa, Republic of Kiribati",(002-686) 22557；22558,(002-686) 90267；93717 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-686) 90267；93717 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-686) 22535,朱文祥,Abraham Chu,大使,Kir@mofa.gov.tw,週一至週五 08:30-17:30,較台灣時間快4小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,馬來西亞,駐馬來西亞代表處 (駐馬來西亞台北經濟文化辦事處),Taipei Economic and Cultural Office in Malaysia,304130000B,http://www.taiwanembassy.org/MY,"Level 7, Menara Yayasan Tun Razak, 200 Jalan Bukit Bintang, 55100 Kuala Lumpur, Malaysia",,(002-60) 3-2161-4439；2161-5508,(002-60) 19-381-2616 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-60) 19-381-2616 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-60) 3-2161-7478,羅由中,"Lo, Yu-chung",代表,teco@po.jaring.my,週一至週五09:00-12:30，13:30-17:30,與台灣無時差,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:00(收件)15:30-16:30(領件),人事處,人事處
亞太地區,馬紹爾群島共和國,駐馬紹爾群島共和國大使館,"Embassy of the Republic of China (Taiwan), Majuro, Republic of the Marshall Islands",303590000B,http://www.roc-taiwanembassy.org/MH,"A5-6 PII Apartment, Lojkar Village, Long Island, Majuro, Marshall Islands, MH96960","P. O. Box 1229, Majuro, MH 96960, The Republic of the Marshall Islands",(002-692) 247-4141；247-4142,(002-692) 455-0910 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-692) 455-0910 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-692) 247-4143,李自剛,George T.K. Li,大使,eoroc@ntamar.net,週一至週五（駐地） 08:30-17:30,較台灣時間快4小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五（駐地） 08:30-17:30,人事處,人事處
亞太地區,諾魯共和國,駐諾魯共和國大使館,"Embassy of the Republic of China (Taiwan), Yaren, Republic of Nauru",303500000B,http://www.taiwanembassy.org/NR,"1st Floor, Civic Center, Aiwo, Republic of Nauru","P.O.Box 294, Republic of Nauru, Central Pacific",(002-674) 557-3333,(002-674) 557-3331 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-674) 557-3331 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",,項恬毅,Timothy T. Y. Hsiang,大使,nru@mofa.gov.tw,間 週一至週五 9:00至18:00,較台灣時間快4小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五 9:00至17:00,人事處,人事處
亞太地區,帛琉共和國,駐帛琉共和國大使館,Embassy of the Republic of China (Taiwan) in the Republic of Palau,391510000B,,"3F., Ben Franklin Building, Koror, Palau","P. O. Box 9087, Koror, 96940 the Republic of Palau（通信請用郵政信箱）",(002-680) 488-8150,(002-680) 775-6688 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-680) 775-6688 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-680) 488-8151,田台清,Maggie Taiching Tien,大使,roc.palau@gmail.com,週一至週五08:30-12:30，13:30-17:30,較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,紐西蘭,駐紐西蘭代表處 (駐紐西蘭台北經濟文化辦事處),"Taipei Economic and Cultural Office, New Zealand",304170000B,http://www.taiwanembassy.org/NZ,"Level 21, 105 The Terrace, Wellington 6011, New Zealand","P. O. Box 10-250, The Terrace ,Wellington, New Zealand",(002-64) 4473-6474,(002-64) 274-495-300 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-64) 274-495-300 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-64) 4499-2430,常以立,"CHARNG, YII-LIH",代表,tecowlg@taipei.org.nz,週一至週五09:00-17:00,較台灣時間快4小時（97年9月28日-98年4月5日快5小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),"週一至週五09:00-12:30,13:30-17:00",人事處,人事處
亞太地區,紐西蘭,駐奧克蘭辦事處 (駐奧克蘭台北經濟文化辦事處),Taipei Economic and Cultural Office in Auckland,304090000B,http://www.roc-taiwan.org/NZ/AKL,"Level 18, 120 Albert Street, Auckland, New Zealand","C. P. O. Box 4018 ,Auckland, New Zealand",(002-64) 9303-3903,(002-64) 272-712-700 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-64) 272-712-700 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-64) 9302-3399,丁樂群,Lincoln Y. C. Ting,處長,tecoakl@taiwan-roc.org.nz,週一至週五09:00-12:30，13:30-17:00,較台灣快4小時（每年10月至隔年3月為日光節約時間快5小時）,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-17:00,人事處,人事處
亞太地區,巴布亞紐幾內亞獨立國,駐巴布亞紐幾內亞代表處(中華民國(台灣)駐巴布亞紐幾內亞商務代表團),Trade Mission of the Republic of China (Taiwan) in Papua New Guinea,304290000B,http://www.roc-taiwan.org/PG,"Level 8, Deloitte Tower, Douglas Street, Port Moresby, NCD, Papua New Guinea","P. O. Box 334, POM Port Moresby, NCD ,Papua New Guinea",(002-675) 321-2922,(002-675) 7224-7344、7295-5114 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-675) 7224-7344、7295-5114 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-675) 321-3510,胡惇卜,"Hu, Chun-pu",代表,png@mofa.gov.tw,週一至週五09:00-17:00,較台灣時間快2小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
亞太地區,菲律賓共和國,駐菲律賓代表處 (駐菲律賓臺北經濟文化辦事處),Taipei Economic and Cultural Office in the Philippines,304140000B,http://www.taiwanembassy.org/PH,"41F, Tower 1, RCBC Plaza, 6819 Ayala Avenue, Makati City 1200, Metro Manila, Philippines","P.O.Box 1097 Makati Central Post Office, 1250 Makati, Metro Manila, Philippines",(002-63) 2-887-6688,(002-63) 917-8194597 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-63) 917-8194597 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-63) 2-887-7679,王樂生,Raymond L. S. Wang,代表,phl@mofa.gov.tw,週一至週五08:30-12:30，13:30-17:30,與台灣無時差,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五08:45 -16:45（上午收件/下午發件） （中午休息時間11:45 – 13:45）,人事處,人事處
亞太地區,新加坡共和國,駐新加坡代表處(駐新加坡台北代表處),Taipei Representative Office in Republic of Singapore,304010000B,http://www.taiwanembassy.org/SG,"460, Alexandra Road, #23-00 PSA Building, Singapore 119963",,(002-65) 6500-0100,(002-65) 9638-9436 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-65) 9638-9436 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-65) 6278-9962,謝發達,"Hsieh, Fa-dah",代表,sgp@mofa.gov.tw,週一至週五 09:00-12:30，13:30-17:00,與台灣無時差,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09:00-12:30收件，13:30-16:00發件,人事處,人事處
亞太地區,大韓民國(南韓),駐韓國代表處(駐韓國台北代表部),Taipei Mission in Korea,303820000B,http://www.taiwanembassy.org/KR,"6th FL., Gwanghwamun Bldg., 149, Sejong-daero, Jongno-gu, Seoul 110-730, Korea",,(002-82) 2399-2780,(002-82) 109-080-2761 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"(002-82) 119-080-2761 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-82) 2399-2779,梁英斌,"Liang, Benjamin Y.P.",代表,kor@mofa.gov.tw,週一至週五09：00∼18：00,較台灣快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),週一至週五09：00∼15：00（中午不休息）,人事處,人事處
亞太地區,大韓民國(南韓),駐釜山辦事處(駐韓國台北代表部釜山辦事處),"Taipei Mission in Korea, Busan Office",303830000B,http://www.roc-taiwan.org/KR/PUS,"9F Dongbang Building, 70 Jungang-Daero, Jung-Gu, Busan, Korea 600-717",,(002-82) 51-463-7965,010-4537-7961 ※急難救助電話專供緊急求助之用(如車禍、搶劫、有關生命安危緊急情況等)，非急難重大事件，請勿撥打；一般護照、簽證等事項，請於上班時間以辦公室電話查詢。,"010-4537-7961 ※This phone number is for emergencies only, such as car accidents, robberies, life or death situations, etc. Please do not call this number for non-emergency issues. For general questions about passports, visas and other issues, please contact us during office hours via our normal line.",(002-82) 51-463-6981,羅添宏,"Luo, Tien-hung",處長,pus@mofa.gov.tw,週一至週五09:00-18:00,較台灣時間快1小時,領務轄區請參閱本部領務局網站(http://www.boca.gov.tw),,人事處,人事處
